Spanish,English
de,of
la,the
que,that
el,the
en,in
y,and
a,a
los,the
se,I know
del,of
las,the
un,a
por,by
con,with
no,No
una,a
su,its
para,for
es,it is
al,to the
lo,it
como,What
más,plus
o,either
pero,but
sus,their
le,you
ha,he has
me,I
si,Yes
sin,without
sobre,on
este,East
ya,Already
entre,Come in
cuando,when
todo,all
esta,is
ser,be
son,are
dos,two
también,also
fue,it was
había,there was
era,it was
muy,very
años,years
hasta,until
desde,since
está,this
mi,me
porque,because
qué,what
sólo,single
han,they have
yo,me
hay,there are
vez,time
puede,can
todos,everybody
así,So
nos,us
ni,neither
parte,part
tiene,have
él,the
uno,one
donde,where
bien,right
tiempo,weather
mismo,same
ese,that
ahora,now
cada,each
e,and
vida,life
otro,other
después,after
te,tea
otros,others
aunque,though
esa,this
eso,it's
hace,does
otra,other
gobierno,government
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,great
país,country
según,according to
menos,less
mundo,world
año,year
antes,before
estado,condition
contra,against
sino,otherwise
forma,form
caso,case
nada,any
hacer,do
general,general
estaba,I was
poco,little bit
estos,these
presidente,President
mayor,elderly
ante,in view of
unos,some
les,them
algo,something
hacia,towards
casa,House
ellos,they
ayer,Yesterday
hecho,done
primera,first
mucho,much
mientras,while
además,what's more
quien,who
momento,moment
millones,millions
esto,this
españa,Spain
hombre,men
están,is it so
pues,well
hoy,today
lugar,place
madrid,Madrid
nacional,national
trabajo,worked
otras,others
mejor,better
nuevo,new
decir,tell
algunos,Some
entonces,then
todas,all
días,days
debe,must
política,politics
cómo,What
casi,almost
toda,all
tal,such
luego,later
pasado,past
primer,first
medio,medium
va,goes
estas,these
sea,be
tenía,I had
nunca,never
poder,can
aquí,here
ver,watch
veces,times
embargo,embargo
partido,match
personas,people
grupo,cluster
cuenta,bill
pueden,they can
tienen,have
misma,same
nueva,new
cual,which
fueron,were
mujer,woman
frente,front
josé,Joseph
tras,after
cosas,stuff
fin,finish
ciudad,city
he,He
social,Social
manera,way
tener,to have
sistema,system
será,will be
historia,history
muchos,Many
juan,John
tipo,Type
cuatro,four
dentro,within
nuestro,our
punto,point
dice,He says
ello,it
cualquier,any
noche,night
aún,even
agua,Water
parece,It seems
haber,to have
situación,situation
fuera,outside
bajo,bass
grandes,large
nuestra,our
ejemplo,example
acuerdo,agreement
habían,They were
usted,you
estados,state
hizo,made
nadie,no one
países,countries
horas,hours
posible,possible
tarde,afternoon
ley,law
importante,important
guerra,war
desarrollo,developing
proceso,process
realidad,reality
sentido,sense
lado,side
mí,my
tu,your
cambio,change
allí,over there
mano,hand
eran,were
estar,be
san,saint
número,number
sociedad,society
unas,nail
centro,center
padre,dad
gente,people
final,final
relación,relationship
cuerpo,Body
obra,construction site
incluso,even
través,through
último,latest
madre,mother
mis,my
modo,mode
problemas,problems
cinco,five
carlos,Charles
hombres,mens
información,information
ojos,eyes
muerte,death
nombre,Name
algunas,some
público,public
mujeres,women
siglo,century
todavía,yet
meses,months
mañana,morning
esos,those
nosotros,us
hora,hour
muchas,many
pueblo,village
alguna,some
dar,to give
problema,issue
don,Don
da,gives
tú,your
derecho,law
verdad,TRUE
maría,Maria
unidos,United
podría,could
sería,would
junto,together
cabeza,head
aquel,that
luis,Lewis
cuanto,how much
tierra,Earth
equipo,equipment
segundo,second
director,director
dicho,saying
cierto,certain
casos,cases
manos,hands
nivel,level
podía,could
familia,family
largo,length
partir,leave
falta,lack
llegar,get
propio,own self
ministro,Minister
cosa,stuff
primero,first
seguridad,security
hemos,we have
mal,wrong
trata,about
algún,some
tuvo,He had
respecto,regard
semana,week
varios,several
real,real
sé,HE
voz,voice
paso,step
señor,mister
mil,one thousand
quienes,who
proyecto,Project
mercado,market
mayoría,most
luz,light
claro,Sure
iba,I was going
éste,East
pesetas,pesetas
orden,order
español,Spanish
buena,good
quiere,wants
aquella,that
programa,Program
palabras,words
internacional,international
van,go
esas,those
segunda,second
empresa,business
puesto,Market Stall
ahí,there
propia,own
m,m
libro,book
igual,Same
político,political
persona,person
últimos,last
ellas,they
total,total
creo,I think
tengo,I've got
dios,god
c,c
española,Spanish
condiciones,conditions
méxico,Mexico
fuerza,strength
solo,only
único,unique
acción,action
amor,love
policía,policeman
puerta,gate
pesar,to weigh
zona,zone
sabe,knows
calle,street
interior,inside
tampoco,either
música,music
ningún,none
vista,view
campo,countryside
buen,good
hubiera,had
saber,to know
obras,plays
razón,reason
ex,ex
niños,kids
presencia,presence
tema,theme
dinero,money
comisión,commission
antonio,Antonio
servicio,service
hijo,son
última,last
ciento,hundred
estoy,am
hablar,speak
dio,it gave
minutos,minutes
producción,production
camino,road
seis,six
quién,who
fondo,background
dirección,address
papel,paper
demás,the rest
barcelona,Barcelona
idea,idea
especial,special
diferentes,different
dado,given
base,base
capital,capital
ambos,both of them
europa,Europe
libertad,freedom
relaciones,relations
espacio,space
medios,media
ir,to go
actual,current
población,population
empresas,Business
estudio,study
salud,Health
servicios,services
haya,is
principio,beginning
siendo,being
cultura,culture
anterior,previous
alto,tall
media,half
mediante,through
primeros,first
arte,art
paz,peace
sector,sector
imagen,image
medida,measure
deben,They must
datos,data
consejo,tip
personal,staff
interés,interest
julio,July
grupos,groups
miembros,members
ninguna,none
existe,exists
cara,expensive
edad,age
etc,etc
movimiento,movement
visto,viewed
llegó,I arrive
puntos,points
actividad,exercise
bueno,Okay
uso,use
niño,little boy
difícil,hard
joven,young man
futuro,future
aquellos,those
mes,month
pronto,early
soy,am
hacía,towards
nuevos,new
nuestros,our
estaban,They were
posibilidad,possibility
sigue,follow
cerca,close
resultados,results
educación,education
atención,attention
gonzález,González
capacidad,ability
efecto,effect
necesario,necessary
valor,worth
aire,air
investigación,research
siguiente,Next
figura,figure
central,central
comunidad,community
necesidad,need
serie,Serie
organización,organization
nuevas,new
calidad,quality
economía,economy
carácter,character
jefe,boss
estamos,we're
prensa,press
control,control
sociales,social
universidad,college
militar,military
cabo,cape
diez,ten
fuerzas,forces
congreso,congress
ésta,is
hijos,sons
justicia,Justice
mundial,world
dólares,Dollars
juego,play
económica,economic
políticos,politicians
duda,doubt
recursos,means
pública,public
crisis,crisis
próximo,next
tenemos,we have
decisión,decision
varias,several
popular,popular
tenido,Dyed
apenas,barely
época,epoch
banco,bank
presente,Present
menor,minor
quiero,I want
pasar,spend
resultado,result
televisión,TV
encuentra,find
gracias,Thank you
ministerio,ministry
conjunto,set
defensa,defending
alguien,someone
queda,remains
hacen,make
pasa,happens
resto,rest
causa,cause
seguir,continue
allá,there
palabra,word
voy,I go
cuya,whose
vamos,we go
mar,sea
estudios,studies
derechos,Rights
importancia,importance
cuales,which
contrario,contrary
manuel,Manuel
garcía,Garcia
fuerte,strong
sol,sun
jóvenes,youths
apoyo,support for
habría,there would be
civil,civil
miguel,Michael
pedro,Pedro
partidos,matches
libre,free
fuentes,sources
administración,management
común,common
dejar,let
cine,cinema
salir,leave
comunicación,communication
b,b
experiencia,experience
demasiado,too
plan,plan
respuesta,response
energía,Energy
izquierda,left
función,function
principal,major
superior,higher
naturaleza,nature
podemos,can
unión,Union
especialmente,especially
rey,king
domingo,Sunday
favor,favour
cantidad,amount
elecciones,elections
clase,class
productos,products
españoles,Spanish people
conocer,know
teatro,theater
importantes,important
evitar,avoid
color,color
actividades,activities
mesa,table
p,p
decía,He said
cuyo,whose
debido,due
alta,high
francisco,Francisco
secretario,secretary
objeto,object
quizá,Maybe
posición,position
parecía,looked like
natural,natural
elementos,items
hubo,there was
objetivo,objective
formas,shapes
única,only
pueda,I can
origen,source
blanco,white
mismos,same
lleva,carries
económico,economic
opinión,opinion
ayuda,aid
oficial,official
silencio,silence
buenos,good ones
pensar,to think
república,republic
dónde,where
sangre,blood
encuentro,meeting
siquiera,even
autor,Author
reunión,meeting
haciendo,making
suelo,I usually
muestra,sample
viejo,old
encima,over
resulta,result
tomar,drink
bastante,Quite
siete,seven
lucha,struggle
pudo,could
amigos,friends
línea,line
sur,south
pocos,few
medidas,measures
norte,north
partes,Parties
iglesia,church
tratamiento,treatment
existencia,existence
cargo,position
grande,great
américa,America
boca,mouth
plaza,square
pie,foot
trabajadores,workers
poner,put
existen,exist
viene,comes
permite,It allows
análisis,analysis
argentina,Argentina
acto,act
hechos,facts
tiempos,time
políticas,policies
radio,radio
puedo,Can I
crecimiento,increase
francia,France
compañía,company
amigo,dude
autoridades,authorities
realizar,realize
acciones,Actions
padres,fathers
diario,daily
ve,go
derecha,right
ambiente,ambient
i,Yo
habrá,there will be
precisamente,precisely
enfermedad,illness
especie,species
ejército,army
santa,Holy
cambios,changes
río,river
sabía,I knew
seguro,sure
espera,wait
momentos,Moments
viaje,trip
quería,wanted
ocho,eight
vivir,to live
región,region
formación,training
escuela,school
cuarto,fourth
valores,values
quedó,It was
participación,stake
éxito,success
baja,short
artículo,Article
principales,main
fernando,Fernando
metros,meters
marcha,March
régimen,regime
consecuencia,consequence
conocimiento,knowledge
corazón,heart
campaña,campaign
estructura,structure
efectos,effects
finalmente,Finally
modelo,model
carta,letter
construcción,building
médico,medical
miedo,fear
mayores,greater
entrada,entry
humanos,humans
sean,Sean
actitud,attitude
deja,let
dejó,let
d,d
llevar,wear
negro,black
texto,text
mitad,half
estuvo,he was
alrededor,around
acerca,about
peso,weight
humano,human
pequeño,little
fecha,date
serán,will be
doctor,doctor
ideas,Ideas
vino,came
materia,matter
llega,arrives
carrera,race
cierta,true
sola,alone
psoe,PSOE
lejos,far
juez,judge
características,features
riesgo,risk
fácil,easy
diferencia,difference
cultural,cultural
libros,books
práctica,practice
mayo,May
nuestras,ours
programas,programs
memoria,memory
llegado,arrived
plazo,term
expresión,expression
diciembre,december
mantener,hold
enero,January
volver,return
cuadro,frame
producto,product
produce,produces
europea,European
conciencia,awareness
tenían,They had
atrás,behind
felipe,Felipe
creación,creation
chile,Chile
precio,price
película,movie
puerto,port
fuego,fire
cuestión,question
pasó,I pass
costa,coast
supuesto,supposed
local,local
habla,speech
aspectos,aspects
cuba,Cuba
sala,living room
cámara,camera
vuelta,lap
vía,via
mirada,look
mejores,top
informe,report
unidad,Unit
distintos,different
suerte,luck
tales,such
mira,look
llamado,called
técnica,technique
título,title
s,s
principios,beginning
octubre,october
volvió,went back
período,period
g,g
encontrar,find
democracia,democracy
aumento,increase
fútbol,football
prueba,Test
consumo,consumption
pese,I weighed
ocasiones,occasions
exterior,Exterior
solución,solution
u,or
hija,daughter
sueño,sleep
parís,Paris
capaz,capable
ocasión,chance
industria,industry
adelante,ahead
salida,exit
ciencia,science
asunto,affair
asociación,association
puso,put
intereses,interests
oro,Prayed
podrá,can
pregunta,Question
oposición,opposition
entrar,get in
señora,Mrs
señaló,he pointed
santiago,Santiago
dolor,pain
zonas,zones
comercio,trade
operación,operation
tribunal,court
instituciones,institutions
temas,topics
militares,military
junio,June
marco,framework
sectores,sectors
hacerlo,do it
aspecto,appearance
razones,reasons
contenido,contents
juicio,judgment
electoral,electoral
considera,considers
tendrá,will have
mucha,a lot
voluntad,Will
dicen,They say
recuerdo,memory
socialista,socialist
área,area
aparece,appear
vio,he saw
cama,bed
aun,still
presenta,presents
pp,pp
revolución,revolution
busca,search
abril,april
rodríguez,Rodríguez
fiscal,fiscal
lópez,López
victoria,victory
violencia,violence
primeras,first
pequeña,small
armas,weapons
debía,should
ii,II
esfuerzo,effort
humana,human
posibilidades,odds
centros,centers
profesional,professional
asimismo,likewise
grado,degree
has,you have
toma,taking
distintas,different
material,material
carne,meat
llama,call
particular,particular
jorge,George
trabajar,to work
propuesta,proposal
muerto,dead
precios,prices
reforma,reform
hermano,brother
corte,court
comenzó,started
etapa,stage
obstante,However
pone,places
diversos,diverse
visita,visit
concepto,concept
pacientes,patients
semanas,weeks
tipos,types
solamente,only
deseo,desire
sistemas,systems
encuentran,find
siguientes,following
martín,Martin
suficiente,enough
marzo,March
propios,own
jamás,Never
dan,give
club,club
instituto,Institute
constitución,Constitution
curso,grade
lenguaje,language
estilo,style
rosa,rose
imposible,impossible
pablo,Paul
buscar,Search
peor,worse
piel,skin
arriba,up
generales,General
septiembre,September
blanca,white
r,r
aquellas,those
teoría,theory
animales,animals
hicieron,they made
larga,long
perdido,lost
imágenes,images
paciente,patient
conseguir,get
máximo,maximum
noviembre,november
j,J
líder,Leader
hospital,hospital
diversas,diverse
rafael,Rafael
vuelve,Come back
destino,destiny
torno,turnstile
proyectos,Projects
flores,flowers
niveles,levels
afirmó,he claimed
explicó,explained
n,n
somos,are
términos,terms
premio,reward
tercera,third